case_a	case_b	fvector	inv_vertex_pairs_equal	inv_edges_equal	inv_face_shapes_equal	inv_cell_shapes_equal	verdict
L3-{5,3,5/2}-13	L3-{5,3,5/2}-16	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-14	L3-{5,3,5/2}-9	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-14	L3-{5,3,5/2}-10	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-14	L3-{5,3,5/2}-11	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-14	L3-{5,3,5/2}-12	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-14	L3-{5,3,5/2}-15	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-14	L3-{5,3,5/2}-16	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-15	L3-{5,3,5/2}-9	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-15	L3-{5,3,5/2}-10	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-15	L3-{5,3,5/2}-11	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-15	L3-{5,3,5/2}-12	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-15	L3-{5,3,5/2}-13	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-15	L3-{5,3,5/2}-14	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-16	L3-{5,3,5/2}-9	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-16	L3-{5,3,5/2}-10	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-16	L3-{5,3,5/2}-11	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-16	L3-{5,3,5/2}-12	(120, 720, 300, 50)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-16	L3-{5,3,5/2}-13	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-16	L3-{5,3,5/2}-14	(120, 720, 300, 50)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{3,3,5/2}-1	L3-{5,3,3}-3	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{3,3,5/2}-1	L3-{5,3,3}-8	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{3,3,5/2}-4	L3-{5,3,3}-3	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{3,3,5/2}-4	L3-{5,3,3}-8	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
